proteinID	Result_Value	Result_Type	Dose	DoseUnit	Repeat	ProjectName	ExperimentName	SampleGroup	SampleName
Protein_1	3666.8	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_1	1649.1	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_1	2057.1	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_1	3231.5	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_1	2358.7	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_1	1889.4	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_2	1840.4	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_2	1308.7	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_2	1426.6	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_2	1507.8	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_2	1274.1	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_2	1190.3	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_3	979.18	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_3	724.58	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_3	540.13	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_3	1089.5	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_3	543.03	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_3	574.12	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_4	4351.9	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_4	2436.9	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_4	3112.8	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_4	3786.6	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_4	4210.4	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_4	3202.9	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_5	4614.1	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_5	1909.9	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_5	3461.6	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_5	4384	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_5	5476.5	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_5	3106.5	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_6	757.86	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_6	354.56	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_6	530.48	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_6	656.99	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_6	710.06	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_6	536.17	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_7	6050.7	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_7	5650.8	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_7	5985.1	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_7	5641.3	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_7	4902	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_7	5570	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_8	2462.6	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_8	1263.3	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_8	1983.5	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_8	2538.3	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_8	2028.9	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_8	1863.2	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_9	258640	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_9	145710	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_9	210850	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_9	254520	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_9	289580	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_9	207930	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_10	4490.2	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_10	3092.5	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_10	4187.1	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_10	5292.9	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_10	5193.8	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_10	4456.3	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_11	151650	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
